Metric,Value
CAGR,0.2581496979928817
Annualized Volatility,0.17188074286720356
Sharpe Ratio,1.1939504141148198
Sortino Ratio,1.1525276962269089
Max Drawdown,-0.20118474300950018
Beta,1.087060065671987
Alpha (annualized),0.02555926000728448
R-Squared,0.930642084883818
Upside Capture,1.1368394892180977
Downside Capture,1.1222945891849445
Number of Holdings,13
Top-5 Weight,0.8400000000000001
HHI (Concentration),0.43620000000000003
Effective N (1/HHI),2.2925263640531863
Largest Holding,VOO
Largest Weight,0.65
