Ticker,Company,Industry,Market Cap ($B),P/E,Fwd P/E,Gross Margin %,Op Margin %,ROE %,D/E,ND/EBITDA,Int Coverage,% Below 52W High
BF-B,Brown-Forman Corporation,Beverages - Wineries & Distilleries,12,16.9,15.3,60.7,27.6,18.1,0.62,1.8,9.6,18.1
CRH,CRH plc,Building Materials,59.44,15.8,13.5,36.2,19,15.8,0.78,2.17,6.9,32.1
WDC,Western Digital Corporation,Computer Hardware,173.88,17.9,15.2,48.9,43.6,130.9,0.13,-0.08,61,39.7
PYPL,"PayPal Holdings, Inc.",Credit Services,44.63,9.9,9,40.5,17,24.5,0.72,0.46,15.3,34.1
TEL,TE Connectivity plc,Electronic Components,59.26,20,15.9,36.1,20.8,23.3,0.43,0.92,42.6,19
NFLX,"Netflix, Inc.",Entertainment,316.58,23.9,19.9,49.1,33.4,49.5,0.55,0.51,17.4,40
FOXA,Fox Corporation,Entertainment,26.85,16.6,11,36.6,25.2,14.3,0.64,0.87,6.7,16.4
FOX,Fox Corporation,Entertainment,24.01,14.9,9.9,36.6,25.2,14.3,0.64,0.87,6.7,16.2
CME,CME Group Inc.,Financial Data & Stock Exchanges,98.78,23.3,21.3,100,65,15.8,0.15,0.33,31.7,16.5
CBOE,"Cboe Global Markets, Inc.",Financial Data & Stock Exchanges,30.48,22.8,19.2,54.1,34.6,26.3,0.28,-0.4,31,21.4
FDS,FactSet Research Systems Inc.,Financial Data & Stock Exchanges,9.93,18.4,14.2,51.4,30.5,27,0.77,1.36,13.8,24.9
DECK,Deckers Outdoor Corporation,Footwear & Accessories,10.93,11.4,9.6,57.8,15.2,42.6,0.21,-0.85,525.3,34.4
ACN,Accenture plc,Information Technology Services,107.58,14.1,12,32,17,24.4,0.25,-0.14,47.4,39.6
CTSH,Cognizant Technology Solutions Corporation,Information Technology Services,26.22,12.5,9.2,33.4,17.5,14.9,0.14,0.26,95,33.1
BRO,"Brown & Brown, Inc.",Insurance Brokers,22.26,21.3,13.8,56.3,41.8,10,0.64,2.47,5.5,31.1
GOOGL,Alphabet Inc.,Internet Content & Information,4043.83,16.6,22.3,60.9,34,48.7,0.19,-0.7,216.8,19.1
GOOG,Alphabet Inc.,Internet Content & Information,4016.07,16.5,22.1,60.9,34,48.7,0.19,-0.7,216.8,18.8
META,"Meta Platforms, Inc.",Internet Content & Information,1665.28,24.6,18.7,81.7,34.8,29.8,0.43,0.2,74.8,17.3
BSX,Boston Scientific Corporation,Medical Devices,65.16,18.2,13.1,69.2,22.9,15.3,0.5,2.12,10.7,58.4
EQT,EQT Corporation,Oil & Gas E&P,34.17,12.7,13.9,80.7,23.4,11.1,0.2,0.79,7.8,19.9
EXE,Expand Energy Corporation,Oil & Gas E&P,22.37,8.3,11.1,47.1,26.3,14.9,0.19,0.46,10.7,23.7
MKC,"McCormick & Company, Incorporated",Packaged Foods,13.84,8.6,15.6,38.9,17.4,24.7,0.65,3.17,5.7,28.9
PHM,"PulteGroup, Inc.",Residential Construction,22.65,12.1,10.6,25.6,15.7,14.9,0.19,0.42,4813.1,17.7
QCOM,QUALCOMM Incorporated,Semiconductors,188.41,20.1,17.3,54.2,18.5,33.8,0.55,0.58,20.1,32.1
NXPI,NXP Semiconductors N.V.,Semiconductors,56.31,19,12.3,56.1,30.4,27.9,0.93,1.53,6.7,34.3
ADBE,Adobe Inc.,Software - Application,101.31,14.6,9.3,89.4,35.3,63,0.61,0.15,34.2,31.3
INTU,Intuit Inc.,Software - Application,85.87,19.1,11.5,81,17.6,23.6,0.44,0.17,20.6,55.5
ROP,"Roper Technologies, Inc.",Software - Application,38.61,16.3,16.1,69.5,27.7,13.1,0.61,3.38,7,25.1
PTC,PTC Inc.,Software - Application,13.99,12.5,14.5,84.5,28.2,35.1,0.46,0.98,12.9,38.2
DOV,Dover Corporation,Specialty Industrial Machinery,25.78,23.1,16.4,40.1,18.7,14.9,0.42,0.79,13.5,19.4
PNR,Pentair plc,Specialty Industrial Machinery,9.18,14.8,11.1,41.4,23.4,17.1,0.47,1.62,11.9,49.5
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,7.86,16.1,14.1,38.6,18.9,27.1,0.37,0.63,54,29.4
